DEPT,DVER,BDIA,ROPA,HKLA,HKLX,WOBA,TQA,TQX,RPMA,RPMB,SPPA,TVA,MFIA,MFOA,MDIA,MDOA,MTIA,MTOA,ECDT,BDTI,BDDI,BRVC,TCTI,FPPG,DXC,GASX,HSX,MTHA,ETHA,PRPA,IBTA,NBTA,IPNA,NPNA,C1C2,C1C3,C1C4,C1C5,LITH
218,218.0,36.0,27.23,33.28,None,2.0,5.66,None,None,69.33,65.0,None,3020.76,None,None,None,69.33,None,None,9.93,73.04,13.26,13.55,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
219,219.0,36.0,28.82,33.22,None,2.06,4.35,None,None,69.14,65.0,None,3020.76,None,None,None,69.14,None,None,10.07,74.04,13.4,13.73,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
220,220.0,36.0,28.91,33.42,None,1.87,2.27,None,None,69.0,65.0,None,3020.76,None,None,None,69.0,None,None,10.2,75.04,13.54,13.92,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
221,221.0,36.0,28.92,33.41,None,1.87,3.21,None,None,69.0,65.0,None,3020.76,None,None,None,69.0,None,None,10.34,76.04,13.69,14.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
222,222.0,36.0,25.01,33.27,None,2.01,3.33,None,None,64.0,66.0,None,3020.76,None,None,None,64.0,None,None,10.47,77.03,13.84,14.29,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
223,223.0,36.0,29.37,33.43,None,1.85,4.22,None,None,69.14,66.0,None,2982.51,None,None,None,69.14,None,None,10.61,78.03,13.98,14.48,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
224,224.0,36.0,31.89,33.52,None,1.76,4.8,None,None,69.57,66.0,None,3020.76,None,None,None,69.57,None,None,10.75,79.03,14.11,14.66,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
225,225.0,36.0,22.15,33.31,None,1.97,11.5,None,None,68.67,66.0,None,3020.76,None,None,None,68.67,None,None,10.88,80.03,14.3,14.85,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
226,226.0,36.0,20.43,33.61,None,1.67,3.27,None,None,69.29,66.0,None,3020.76,None,None,None,69.29,None,None,11.02,81.03,14.5,15.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
227,227.0,36.0,25.12,33.52,None,1.76,3.84,None,None,69.17,66.0,None,3020.76,None,None,None,69.17,None,None,11.15,82.03,14.67,15.22,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
228,228.0,36.0,22.21,33.31,None,1.97,5.67,None,None,69.14,66.0,None,3020.76,None,None,None,69.14,None,None,11.29,83.03,14.85,15.4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
229,229.0,36.0,29.76,33.19,None,2.09,6.99,None,None,68.5,67.0,None,3020.76,None,None,None,68.5,None,None,11.43,84.03,14.99,15.59,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
230,230.0,36.0,29.38,33.12,None,2.16,4.8,None,None,68.57,67.0,None,3020.76,None,None,None,68.57,None,None,11.56,85.03,15.13,15.77,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
231,231.0,36.0,26.03,33.03,None,2.25,7.87,None,None,68.83,67.0,None,3020.76,None,None,None,68.83,None,None,11.7,86.03,15.29,15.96,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
232,232.0,36.0,20.48,32.87,None,2.41,6.92,None,None,69.0,67.0,None,3020.76,None,None,None,69.0,None,None,11.84,87.02,15.49,16.15,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
